epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,26.7838,0.74477,0.5,1,0.67203,6.668e-05,6.668e-05,6.668e-05
2,49.5256,0.63968,0.65385,1,0.63175,0.000140128,0.000140128,0.000140128
3,70.9745,0.55089,0.65385,1,0.60715,0.000202574,0.000202574,0.000202574
4,92.5932,0.44063,0.65385,1,0.55366,0.000254017,0.000254017,0.000254017
5,114.213,0.32175,0.73077,1,0.49017,0.000294459,0.000294459,0.000294459
6,136.427,0.28394,0.73077,1,0.46372,0.000323898,0.000323898,0.000323898
7,158.357,0.22874,0.73077,1,0.40073,0.000342335,0.000342335,0.000342335
8,180.387,0.19353,0.73077,1,0.41497,0.00034977,0.00034977,0.00034977
9,212.408,0.16171,0.73077,1,0.40083,0.000346203,0.000346203,0.000346203
10,234.005,0.34296,0.73077,1,0.39501,0.000331633,0.000331633,0.000331633
11,255.501,0.25933,0.73077,1,0.37825,0.000306061,0.000306061,0.000306061
12,276.829,0.11001,0.80769,1,0.2985,0.000269487,0.000269487,0.000269487
13,298.159,0.11098,0.80769,1,0.25699,0.000221911,0.000221911,0.000221911
14,319.697,0.08812,0.80769,1,0.25994,0.000163333,0.000163333,0.000163333
15,341.086,0.19004,0.80769,1,0.25437,9.37521e-05,9.37521e-05,9.37521e-05
